Title,Volume,Writer,Artist
Once and Future,The Parliament Of Magpies,Kieron Gillen,Dan Mora
Once and Future,Monarchies In The UK,Kieron Gillen,Dan Mora
Jojo's Bizzarre Adventure,Steel Ball Run 1,Hirohiko Araki,Hirohiko Araki
Jojo's Bizzarre Adventure,Steel Ball Run 2,Hirohiko Araki,Hirohiko Araki
Jojo's Bizzarre Adventure,Steel Ball Run 3,Hirohiko Araki,Hirohiko Araki
Jojo's Bizzarre Adventure,Steel Ball Run 4,Hirohiko Araki,Hirohiko Araki
Absolute Batman,The Zoo,Scott Snyder,Nick Dragotta
Absolute Batman,Abomination,Scott Snyder,Nick Dragotta
Berserk,1,Kentaro Miura,Kentaro Miura
Berserk,2,Kentaro Miura,Kentaro Miura
Berserk,3,Kentaro Miura,Kentaro Miura
Berserk,4,Kentaro Miura,Kentaro Miura
Berserk,5,Kentaro Miura,Kentaro Miura
Berserk,6,Kentaro Miura,Kentaro Miura
Berserk,7,Kentaro Miura,Kentaro Miura
Berserk,8,Kentaro Miura,Kentaro Miura
Berserk,9,Kentaro Miura,Kentaro Miura
Berserk,10,Kentaro Miura,Kentaro Miura
Berserk,11,Kentaro Miura,Kentaro Miura
Berserk,12,Kentaro Miura,Kentaro Miura
Berserk,13,Kentaro Miura,Kentaro Miura
Berserk,14,Kentaro Miura,Kentaro Miura
Berserk,15,Kentaro Miura,Kentaro Miura
Berserk,16,Kentaro Miura,Kentaro Miura
Berserk,17,Kentaro Miura,Kentaro Miura
Berserk,18,Kentaro Miura,Kentaro Miura
Berserk,19,Kentaro Miura,Kentaro Miura
Berserk,20,Kentaro Miura,Kentaro Miura
Berserk,21,Kentaro Miura,Kentaro Miura
Absolute Martian Manhunter,1: Martian Vision,Denis Camp,Javier Rodriguez
Absolute Wonder Woman,1: The Last Amazon,Kelly Thompson,Hayden Sherman
Absolute Green Lantern,1: Without Fear,Al Ewing,Jahnoy Lindsay
Absolute Flash,1: Of Two Worlds,Jeff Lemire,Nick Robles
Invincible (New Edition),1,Robert Kirkman,Cory Walker
Invincible (New Edition),2,Robert Kirkman,Cory Walker
Invincible (New Edition),3,Robert Kirkman,Cory Walker
Invincible (New Edition),4,Robert Kirkman,Cory Walker
Absolute Wonder Woman,2: As My Mothers Made Me,Kelly Thompson,Hayden Sherman
Absolute Batman,2: Abomination,Scott Snyder,Nick Dragotta
JoJo's Bizarre Adventure,Steel Ball Run 5,Hirohiko Araki,Hirohiko Araki
Absolute Power,1,Mark Waid,Dan Mora
The Invisibles,Omnibus 1,Grant Morrison,Jill Thompson
The Invisibles,Omnibus 2,Grant Morrison,Jill Thompson
The Invisibles,Omnibus 3,Grant Morrison,Jill Thompson
The Invisibles,Omnibus 4,Grant Morrison,Jill Thompson
Planetary,1: All Over The World & Other Stories,Warren Ellis,John Cassaday
Planetary,2: The Fourth Man,Warren Ellis,John Cassaday
Planetary,3: Leaving The 20th Century,Warre Ellis,John Cassaday
Planetary,4: Spacetime Archeology,Warren Ellis,John Cassaday
